"data_year","zone","habitat","nombre_pieces","loyer_moyen","surface_moyenne","moyenne_loyer_mensuel","nombre_observations"
2015,"69000","Appartement",1,10.6,64,686,19160
2015,"69000","Appartement",1,11.55,63,695.5,153
2015,"69000","Maison",4,9.5,99,944,3827
2015,"69000","Appartement",4,11.55,63,695.5,450
2015,"69000","Appartement",1,14.4,31,452,3198
2015,"69000","Appartement",2,11.9,48,570,5917
2015,"69000","Appartement",3,10.4,68,702,6065
2015,"69000","Maison",4,9.5,95,899,3377
2015,"69000","Appartement",1,14.5,31,453,3206
2015,"69000","Appartement",2,11.8,48,569,5954
2015,"69000","Appartement",3,10.3,68,702,6173
2015,"69000","Maison",2,9.7,100,966,603
2015,"69000","Appartement",1,14.4,31,452,3198
2015,"69000","Appartement",2,11.9,48,570,5917
2015,"69000","Appartement",3,10.4,68,702,6065
2015,"69000","Maison",4,9.5,95,899,3377
2015,"69000","Appartement",1,14.5,31,453,3206
2015,"69000","Appartement",2,11.8,48,569,5954
2015,"69000","Appartement",3,10.3,68,702,6173
2015,"69000","Maison",4,9.5,99,944,3827
2015,"69000","Appartement",1,11.2,61,683,7529
2015,"69000","Maison",4,9.9,98,972,1208
2015,"69000","Appartement",1,15.1,31,462,1510
2015,"69000","Appartement",2,12.2,47,574,2526
2015,"69000","Appartement",3,10.7,68,723,2285
2015,"69000","Appartement",1,10.4,66,688,11631
2015,"69000","Maison",4,9.4,99,933,2619
2015,"69000","Appartement",1,11.55,32,448,1696
2015,"69000","Appartement",2,11.6,49,567,3428
2015,"69000","Appartement",3,10.2,68,693,3888
2015,"69000","Appartement",1,11.2,61,683,7529
2015,"69000","Appartement",1,15.1,31,462,1510
2015,"69000","Appartement",2,12.2,47,574,2526
2015,"69000","Appartement",3,10.7,68,723,2285
2015,"69000","Maison",4,9.9,98,972,1208
2015,"69000","Appartement",1,10.4,66,688,11631
2015,"69000","Appartement",1,11.55,32,448,1696
2015,"69000","Appartement",2,11.6,49,567,3428
2015,"69000","Appartement",3,10.2,68,693,3888
2015,"69000","Maison",4,9.4,99,933,2619
2015,"69000","Appartement",1,10.6,63,666,7382
2015,"69000","Maison",4,9.2,110,1012,1067
2015,"69000","Appartement",1,14.2,32,455,1765
2015,"69000","Appartement",2,11.7,48,565,2648
2015,"69000","Appartement",3,9.9,70,693,1902
2015,"69000","Appartement",1,9.8,64,624,4623
2015,"69000","Maison",4,8.8,88,773,1232
2015,"69000","Appartement",1,13.9,32,440,473
2015,"69000","Appartement",2,11.1,47,526,1082
2015,"69000","Appartement",3,9.6,64,619,1836
2015,"69000","Appartement",1,11.55,67,676,3023
2015,"69000","Maison",4,8.9,97,859,740
2015,"69000","Appartement",1,14.2,32,459,532
2015,"69000","Appartement",2,11.3,50,566,893
2015,"69000","Appartement",3,9.9,69,690,858
2015,"69000","Appartement",1,11.1,66,735,2369
2015,"69000","Maison",4,10.2,98,1003,517
2015,"69000","Appartement",1,15.6,29,447,266
2015,"69000","Appartement",2,11.55,49,595,694
2015,"69000","Appartement",3,10.8,69,747,892
2015,"69000","Appartement",1,11.7,64,749,1763
2015,"69000","Maison",4,10.8,97,1044,271
2015,"69000","Appartement",1,15.3,30,458,170
2015,"69000","Appartement",2,12.7,46,588,637
